BinLow,inlet,small,middle,large
30.61,0,0,0,4
30.71,2,0,0,5
30.82,0,0,0,2
30.93,2,0,0,4
31.04,2,0,0,0
31.14,1,0,0,1
31.25,1,0,0,1
31.36,1,0,0,3
31.46,0,0,0,3
31.57,1,0,0,4
31.68,0,0,0,1
31.79,0,0,0,3
31.89,0,0,0,2
32,0,0,0,2
32.11,0,0,1,3
32.21,1,0,0,0
32.32,0,0,0,1
32.43,2,1,0,3
32.54,0,0,0,2
32.64,1,0,0,1
32.75,0,0,0,1
32.86,3,0,0,2
32.96,0,0,0,3
33.07,1,0,0,0
33.18,2,0,1,2
33.29,2,0,0,3
33.39,0,0,0,3
33.5,2,0,0,3
33.61,0,0,0,0
33.71,2,0,0,0
33.82,0,0,0,1
33.93,1,0,0,3
34.04,0,0,0,0
34.14,0,0,0,0
34.25,1,0,0,3
34.36,0,0,0,3
34.46,0,0,0,0
34.57,1,0,0,2
34.68,0,0,0,2
34.79,0,0,0,0
34.89,0,0,0,0
35,0,0,0,0
35.11,1,0,0,1
35.21,1,0,0,0
35.32,0,0,0,0
35.43,0,0,0,0
35.54,1,0,0,0
35.64,0,0,0,1
35.75,0,0,0,2
35.86,0,0,0,1
35.96,0,0,0,0
36.07,0,0,0,0
36.18,1,0,0,2
36.29,0,0,0,0
36.39,1,0,0,0
36.5,0,0,0,1
36.61,0,0,0,0
36.71,0,0,0,0
36.82,2,0,0,0
36.93,0,0,0,0
37.04,1,0,0,1
37.14,0,0,0,0
37.25,0,0,0,2
37.36,0,0,0,2
37.46,0,0,0,0
37.57,1,0,0,0
37.68,0,0,0,0
37.79,0,0,0,2
37.89,0,0,0,0
38,1,0,0,0
38.11,0,0,0,2
38.21,0,0,0,0
38.32,0,0,0,0
38.43,0,0,0,1
38.54,0,0,0,0
38.64,0,0,0,0
38.75,0,0,0,1
38.86,0,0,0,0
38.96,0,0,0,1
39.07,0,0,0,0
39.18,0,0,0,1
39.29,0,0,0,0
39.39,0,0,0,1
39.5,0,0,0,0
39.61,1,0,0,0
39.71,0,0,0,0
39.82,0,0,0,0
39.93,0,0,0,0
40.04,0,0,0,0
40.14,1,0,0,1
40.25,0,0,0,0
40.36,0,0,0,0
40.46,1,0,0,0
40.57,0,0,0,0
40.68,0,0,0,0
40.79,0,0,0,0
40.89,0,0,0,0
41,0,0,0,1
41.11,0,0,0,0
41.21,0,0,0,0
41.32,0,0,0,0
41.43,0,0,0,0
41.54,0,0,0,0
41.64,0,0,0,0
41.75,0,0,0,0
41.86,0,0,0,0
41.96,0,0,0,0
42.07,0,0,0,0
42.18,0,0,0,0
42.29,0,0,0,0
42.39,0,0,0,0
42.5,0,0,0,0
42.61,0,0,0,0
42.71,0,0,0,0
42.82,0,0,0,0
42.93,0,0,0,0
43.04,0,0,0,0
43.14,0,0,0,0
43.25,0,0,0,0
43.36,0,0,0,0
43.46,0,0,0,0
43.57,0,0,0,0
43.68,0,0,0,0
43.79,0,0,0,0
43.89,0,0,0,0
44,0,0,0,0
44.11,0,0,0,0
44.21,0,0,0,0
44.32,0,0,0,0
44.43,0,0,0,0
44.54,0,0,0,0
